Number,Surname,Name,Pseudo,Mail,Password,Active,Status,Commentary
1,Dupont,Nicolas,omnissiah,jdupont@mail.com,password123,Yes,Level 1,…
2,Martin,Jules,ujloos,lmartin@mail.com,1234abcd,Yes,Level 1,…
3,Durand,Thomas,equinoxh ,thomas@mail.com,pass2021,Yes,Level 1,…
4,Lefevre,Jean,skayl,lessscieu@mail.com,ekk0,Yes,Level 1,…
5,Moreau,Arnaud,arn4uud,cmoreau@mail.com,claude789,Yes,Level 1,…
6,Laurent,Justine,justjustine,slaurent@mail.com,sophiepass,Yes,Level 1,…
7,Simon,Paul,psimon,psimon@mail.com,password,Yes,Level 1,…
8,Michel,Anne,amichel,amichel@mail.com,anne1234,Yes,Level 1,…
9,Bernard,Julien,jbernard,jbernard@mail.com,bernard567,Yes,Level 1,…
10,Roux,Claire,croux,croux@mail.com,claire890,Yes,Level 1,…
11,Fontaine,Laura,lfontaine,lfontaine@mail.com,laura098,Yes,Level 1,…
12,Morel,Eric,emorel,emorel@mail.com,ericpass,Yes,Level 1,…
13,Girard,Isabelle,igirard,igirard@mail.com,isabelle,Yes,Level 2,…
14,Garcia,Thomas,tgarcia,tgarcia@mail.com,thomaspass,Yes,Level 2,…
15,Perrin,Elise,eperrin,eperrin@mail.com,elise789,Yes,Level 2,…
16,Morin,Antoine,amorin,amorin@mail.com,antoine123,Yes,Level 2,…
17,Blanc,Luc,lblanc,lblanc@mail.com,lucpass,Yes,Level 2,…
18,Garnier,Julie,jgarnier,jgarnier@mail.com,julie456,Yes,Level 2,…
19,Faure,Emilie,efaure,efaure@mail.com,emilie1234,Yes,Level 2,…
20,Carpentier,Vincent,vcarpentier,vcarpentier@mail.com,vincent890,Yes,Level 2,…
21,Thomas,Matthieu,WarpRunner,mthomas@mail.com,matthieu567,Yes,Level 2,…
22,Leroy,Juliette,jleroy,jleroy@mail.com,juliettepass,Yes,Level 2,…
23,Legrand,Marcel,legrand,mlegrand@mail.com,marcel123,Yes,Level 2,…
24,Lemoine,Maxime,n30r34p3r,mlemoine@mail.com,maximepass,Yes,Level 2,…
25,Lecomte,MaNo,mlecomte,mlecomte@mail.com,maNo789,Yes,Level 2,…
26,Rousseau,David,drousseau,drousseau@mail.com,davidpass,Yes,Level 2,…
27,Vincent,Charlotte,cvincent,cvincent@mail.com,charlotte123,Yes,Level 2,…
28,Picard,Lucas,lpicard,lpicard@mail.com,lucaspass,Yes,Level 2,…
29,Deschamps,Camille,cdeschamps,cdeschamps@mail.com,camille789,Yes,Level 2,…
30,Caron,Antoine,acaron,acaron@mail.com,antoinepass,Yes,Level 2,…
31,Alice,Chloé,tsunemori,sybil@mail.com,chloepass,Yes,Level 2,…
32,Lopez,Théo,tlopez,tlopez@mail.com,theopass,Yes,Level 2,…
33,Dubois,Clémence,cdubois,cdubois@mail.com,clemence123,Yes,Level 2,…
34,Roger,Juliette,AgentSmith,jroger@mail.com,juliette567,Yes,Level 2,…
35,Philippe,Emma,ephilippe,ephilippe@mail.com,emmapass,Yes,Level 2,…
36,Gasquet,Hugo,morph3u5prime,hgasquet@mail.com,hugopass,Yes,Level 2,…
37,Lemoine,Léa,llemoine,llemoine@mail.com,leapass,Yes,Level 2,…
38,Mercier,Jules,jmercier,jmercier@mail.com,jules123,Yes,Level 2,…
39,Arnaud,MaNo,3ldarPhantom,marnaud@mail.com,maNopass,Yes,Level 2,…
40,Dupuis,Romain,rdupuis,rdupuis@mail.com,romain123,No,Level 2,réglé
41,Lambert,Marine,mlambert,mlambert@mail.com,marinepass,Yes,Level 2,…
42,Leroux,Nathan,nleroux,nleroux@mail.com,nathan567,Yes,Level 2,…
43,Salander,Lisbeth,firegirl,waspenterprises@mail.com,st0ckh0lm,Yes,Level 2,…
44,Martin,Lucas,ne0,lmartin@mail.com,lucas123,Yes,Level 2,...
45,Durand,Pierre,pdurand,pdurand@mail.com,pierre456,Yes,Level 2,...
46,Lefevre,Thomas,tlefevre,tlefevre@mail.com,thomas789,Yes,Level 2,...
47,Moreau,Mathieu,mmoreau,mmoreau@mail.com,mathieu012,Yes,Level 2,...
48,Laurent,Antoine,alaurent,alaurent@mail.com,antoine345,Yes,Level 2,...
49,Simon,Julien,jsimon,jsimon@mail.com,julien678,Yes,Level 2,...
50,Bouchardon,Mikaël,mikkk3,mikbouch@mail.com,603,Yes,Level 2,48.667506; 2.245672
53,Fontaine,Victor,vfontaine,vfontaine@mail.com,victor890,Yes,Level 2,...
54,Morel,Samuel,smorel,smorel@mail.com,samuel123,Yes,Level 2,...
55,Girard,Adrien,agirard,agirard@mail.com,adrien456,Yes,Level 2,...
56,Garcia,Simon,sgarcia,sgarcia@mail.com,simon789,Yes,Level 2,...
57,Perrin,Thomas,tperrin,tperrin@mail.com,thomas012,Yes,Level 2,...
58,Morin,Benjamin,bmorin,bmorin@mail.com,benjamin345,Yes,Level 2,...
59,Blanc,Nicolas,nblanc,nblanc@mail.com,nicolas678,Yes,Level 2,...
60,Garnier,Maxime,mgarnier,mgarnier@mail.com,maxime901,Yes,Level 2,...
61,Faure,Alexandre,afaure,afaure@mail.com,alexandre234,Yes,Level 2,...
62,Carpentier,LYess,lcarpentier,lcarpentier@mail.com,lYess567,Yes,Level 2,...
63,Thomas,Romain,rthomas,rthomas@mail.com,romain890,Yes,Level 2,...
64,Leroy,Arthur,aleroy,aleroy@mail.com,arthur123,Yes,Level 2,...
65,Legrand,Leo,llegrand,llegrand@mail.com,leo456,Yes,Level 2,...
66,Lemoine,Etienne,elemoine,elemoine@mail.com,etienne789,No,Level 2,doxx
67,Lecomte,Julien,tyr4n1dsw4rm,jlecomte@mail.com,julien012,Yes,Level 2,...
68,Rousseau,Gabriel,grousseau,grousseau@mail.com,gabriel345,Yes,Level 2,...
69,Vincent,Mathieu,mvincent,mvincent@mail.com,mathieu678,Yes,Level 2,...
70,Placette,Joris,sauciflette,jojolerigolo@mail.com,grenoble,Yes,Level 2,...
71,Deschamps,Arthur,adeschamps,adeschamps@mail.com,arthur234,Yes,Level 2,...
72,Caron,Valentin,vcaron,vcaron@mail.com,valentin567,Yes,Level 2,...
73,Marie,Nathan,nmarie,nmarie@mail.com,nathan890,Yes,Level 2,...
74,Lopez,Raphael,rlopez,rlopez@mail.com,raphael123,Yes,Level 2,...
75,Renard,Julien,jrenard,jrenard@mail.com,julien234,Yes,Level 2,...
76,Marchand,Lucas,lmarchand,lmarchand@mail.com,lucas345,Yes,Level 2,...
77,Roussel,Maxime,mroussel,mroussel@mail.com,maxime456,Yes,Level 2,...
78,Robin,Thomas,trobin,trobin@mail.com,thomas567,Yes,Level 2,...
79,Gauthier,Paul,pgauthier,pgauthier@mail.com,paul678,No,Level 2,doxx
80,Duval,Pierre,pduval,pduval@mail.com,pierre789,Yes,Level 2,...
81,Denis,Hugo,hdenis,hdenis@mail.com,hugo012,Yes,Level 2,...
82,Leger,Antoine,aleger,aleger@mail.com,antoine123,Yes,Level 2,...
83,Huet,Nicolas,nhuet,nhuet@mail.com,nicolas234,Yes,Level 2,...
84,Pires,LYess,lpires,lpires@mail.com,lYess345,Yes,Level 2,...
85,Lemoine,Mathis,mlemoine,mlemoine@mail.com,mathis456,Yes,Level 2,...
86,Martinez,Alexandre,amartinez,amartinez@mail.com,alexandre567,Yes,Level 2,...
87,Lacroix,Samuel,slacroix,slacroix@mail.com,samuel678,Yes,Level 2,...
88,Blanchard,Victor,vblanchard,vblanchard@mail.com,victor789,Yes,Level 2,...
89,Meyer,Gabriel,meyer,meyer@mail.com,gabriel012,Yes,Level 2,...
90,Leclerc,Nathan,nleclerc,nleclerc@mail.com,nathan123,No,Level 2,terminated
91,Dumas,Julien,jdumas,jdumas@mail.com,julien234,No,Level 2,doxx
92,Benoit,Paul,pbenoit,pbenoit@mail.com,paul345,Yes,Level 2,...
93,Roger,Arthur,aroger,aroger@mail.com,arthur456,Yes,Level 2,...
94,Chauvet,Romain,rchauvet,rchauvet@mail.com,romain567,Yes,Level 2,...
